experiment_id,search_method,model_setting,profile_setting,rna_encoder,image_encoder,aggregation,fusion,experiment,status,val_accuracy,val_f1,test_accuracy,test_f1,selection_reason,experiment_summary,started_at,finished_at,return_code,run_directory,log_file,error_message
bayes_001,bayesian,image_only,singleprofile,,resnet50,,,imaging/singleprofile/train_on_concat_resnet50,completed,0.20253044366836548,0.16882012784481049,,,"Optuna TPE suggestion based on 0 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T14:38:28,2026-08-12T14:40:30,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_001_20260812_143828,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_001.log,
bayes_002,bayesian,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,completed,0.5164362788200378,0.4748119115829468,,,"Optuna TPE suggestion based on 1 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T14:40:32,2026-08-12T15:18:29,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_002_20260812_144032,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_002.log,
bayes_003,bayesian,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,completed,0.5882553458213806,0.5630835890769958,,,"Optuna TPE suggestion based on 2 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T15:18:30,2026-08-12T15:36:08,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_003_20260812_151830,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_003.log,
bayes_004,bayesian,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,completed,0.46048229932785034,0.4334520101547241,,,"Optuna TPE suggestion based on 3 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T15:36:09,2026-08-12T15:38:27,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_004_20260812_153609,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_004.log,
bayes_005,bayesian,multimodal,multiprofile,pca_n2000,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_pca_n2000_with_concat_imagenet_vit_l,completed,0.5317343473434448,0.49259859323501587,,,"Optuna TPE suggestion based on 4 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T15:38:28,2026-08-12T16:17:04,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_005_20260812_153828,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_005.log,
bayes_006,bayesian,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,completed,0.5242751240730286,0.49714577198028564,,,"Optuna TPE suggestion based on 5 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T16:17:06,2026-08-12T16:18:01,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_006_20260812_161706,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_006.log,
bayes_007,bayesian,image_only,multiprofile,,imagenet_vit_l,avgpool,,imaging/multiprofile/train_avgpool_on_concat_imagenet_vit_l,completed,0.3374180495738983,0.3055844008922577,,,"Optuna TPE suggestion based on 6 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T16:18:03,2026-08-12T16:56:43,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_007_20260812_161803,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_007.log,
bayes_008,bayesian,rna_only,singleprofile,scgpt,,,,rnaseq/singleprofile/train_on_scgpt,completed,0.38553929328918457,0.37460315227508545,,,"Optuna TPE suggestion based on 7 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T16:56:43,2026-08-12T16:57:25,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_008_20260812_165643,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_008.log,
bayes_009,bayesian,rna_only,multiprofile,scvi_n200,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scvi_n200,completed,0.6670119762420654,0.6321578025817871,,,"Optuna TPE suggestion based on 8 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T16:57:25,2026-08-12T16:58:44,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_009_20260812_165725,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_009.log,
bayes_010,bayesian,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,completed,0.7159054279327393,0.676556408405304,,,"Optuna TPE suggestion based on 9 completed Bayesian trial(s), restricted to the currently runnable search space.",,2026-08-12T16:58:45,2026-08-12T17:42:43,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_010_20260812_165845,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_010.log,
llm_metrics_001,llm_metrics,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,completed,0.47310519218444824,0.44441714882850647,,,"There is no prior evidence yet, so the most informative first step is a simple baseline that establishes how far RNA-only with a standard representation can go. This will test the basic single-profile, pca_n2000 setup against which later changes in profile handling, encoder choice, aggregation, and multimodal fusion can be compared. Under a limited budget, starting with the simplest configuration is the best use of the next experiment because it anchors the search and helps isolate the value of added complexity in subsequent tests.",,2026-08-12T22:06:27,2026-08-12T22:06:58,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_001_20260812_220627,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_001.log,
llm_metrics_002,llm_metrics,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,completed,0.5242751240730286,0.49714577198028564,,,"The only completed result is a single RNA-only singleprofile baseline with PCA RNA features, so the biggest uncertainty is whether the encoder choice matters more than profile/aggregation changes. Testing config_004 keeps the same model and profile setting while switching only the RNA encoder to scVI, which cleanly isolates representation quality and is a strong low-cost next step. It is the best use of budget because it directly compares against the baseline, may improve accuracy without adding confounds, and helps decide whether to invest later in more complex multiprofile or multimodal designs.",,2026-08-12T22:07:07,2026-08-12T22:08:04,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_002_20260812_220707,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_002.log,
llm_metrics_003,llm_metrics,rna_only,singleprofile,scgpt,,,,rnaseq/singleprofile/train_on_scgpt,completed,0.38553929328918457,0.37460315227508545,,,"Current evidence shows scvi_n200 clearly outperforms pca_n2000 in the singleprofile RNA-only setting (higher accuracy and F1), but we have not yet tested whether this advantage holds for a stronger RNA representation like scgpt. This experiment isolates the effect of RNA encoder while keeping the simpler singleprofile, RNA-only setup fixed, so it can clarify whether representation quality can further improve performance before adding aggregation or multimodality. Under the limited budget, this is the best next step because it tests a high-value design choice with minimal confounding and preserves a clean comparison against the best observed baseline.",,2026-08-12T22:08:16,2026-08-12T22:09:00,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_003_20260812_220816,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_003.log,
llm_metrics_004,llm_metrics,rna_only,multiprofile,scvi_n200,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scvi_n200,completed,0.6670119762420654,0.6321578025817871,,,"The strongest current result is RNA-only with scVI (config_004), while pca and scGPT both underperform in singleprofile settings, so the main uncertainty is whether the RNA encoding choice still matters once we move to multiprofile aggregation. This experiment tests the scVI encoder under the same multiprofile+avgpool setup as config_002/003 will test for pca, helping isolate the effect of representation from the effect of profile aggregation. It is the best next use of budget because it exploits the most promising RNA encoder so far while making a clean, informative comparison about whether multiprofile aggregation adds value for the best-performing representation.",,2026-08-12T22:09:09,2026-08-12T22:10:33,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_004_20260812_220909,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_004.log,
llm_metrics_005,llm_metrics,rna_only,multiprofile,scvi_n200,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scvi_n200,completed,0.6005151271820068,0.5771834254264832,,,"Evidence so far strongly suggests that multiprofile + avgpool is beneficial: config_005 (scvi_n200, multiprofile, avgpool) is the best result by a clear margin over the singleprofile RNA-only baselines. However, we do not yet know whether that gain comes mainly from the profile setting/aggregation or from the specific RNA encoder. This experiment keeps the promising profile/aggregation choice fixed and swaps only the RNA encoder from scvi_n200 to transformer-based scGPT, directly testing whether a stronger RNA representation can further improve the best-performing design. It is the best next use of budget because it exploits the strongest current direction while isolating one important factor, rather than changing multiple choices at once or moving to less-informed image/multimodal settings.",,2026-08-12T23:08:21,2026-08-12T23:11:50,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_005_20260812_230821,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_005.log,
llm_metrics_006,llm_metrics,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,completed,0.5882553458213806,0.5630835890769958,,,"Evidence so far shows multiprofile is helpful for RNA-only models, but the gain may depend on the RNA encoder: scvi_n200 with avgpool is best observed so far, while pca_n2000 singleprofile is much weaker and we have no direct test of whether multiprofile itself helps when the encoder is fixed to pca. This experiment isolates the effect of aggregation/profile setting under a simpler encoder, clarifying whether the multiprofile improvement is robust or encoder-specific. It is the best next use of budget because it answers an important unresolved design question with only one change, rather than jumping to a more complex multimodal setup before understanding the RNA-only baseline more fully.",,2026-08-12T23:12:01,2026-08-12T23:29:40,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_006_20260812_231201,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_006.log,
llm_metrics_007,llm_metrics,rna_only,multiprofile,scgpt,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scgpt,completed,0.46983104944229126,0.45924848318099976,,,"Evidence so far shows scvi_n200 is the strongest RNA encoder among the tested single-profile and multiprofile baselines, and multiprofile avgpool outperforms transformer for both pca_n2000 and scvi_n200. What remains uncertain is whether the poorer scgpt encoder can benefit from the same multiprofile setting, and whether its fusion behavior differs from the other encoders. This experiment tests that design choice in isolation by holding profile setting and aggregation fixed while changing only the RNA encoder. It is the best use of the next trial because it directly clarifies an important unresolved factor with a simple, informative comparison, while staying close to the current best-performing RNA-only setup.",,2026-08-12T23:29:52,2026-08-12T23:38:50,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_007_20260812_232952,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_007.log,
llm_metrics_008,llm_metrics,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,completed,0.5164362788200378,0.4748119115829468,,,"The strongest evidence so far is that RNA-only multiprofile with scvi_n200 and avgpool is best, while transformer aggregation was worse for scvi_n200 and scgpt performed poorly overall. What remains uncertain is whether transformer aggregation is specifically unhelpful only for scvi_n200 or whether the pca_n2000 representation can benefit from it. This experiment isolates the effect of aggregation while holding profile setting and RNA representation fixed, making it the cleanest remaining test of a key design choice under limited budget.",,2026-08-12T23:39:07,2026-08-13T00:17:29,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_008_20260812_233907,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_008.log,
llm_metrics_009,llm_metrics,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,completed,0.46048229932785034,0.4334520101547241,,,"Existing evidence strongly favors RNA-only multiprofile over singleprofile, but the best RNA encoder is still uncertain: scvi_n200 is best so far, while scgpt performed poorly in singleprofile and has not been tested in the strongest multiprofile avgpool setting. This experiment isolates the effect of switching the RNA encoder from scvi_n200 to scgpt while keeping the high-performing multiprofile avgpool design fixed. It is the best next use of budget because it directly tests whether the poor scgpt results are due to the encoder itself or the earlier aggregation/profile choices, without changing multiple factors at once.",,2026-08-13T00:17:58,2026-08-13T00:20:20,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_009_20260813_001758,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_009.log,
llm_metrics_010,llm_metrics,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,completed,0.7037959694862366,0.6656411290168762,,,"Existing evidence strongly favors the RNA scvi_n200 encoder and multiprofile setting: config_005 is the best result so far (0.667 accuracy, 0.632 F1), outperforming both pca_n2000 and scgpt under the same multiprofile/avgpool setup. The main uncertainty is whether adding image information improves on this strong RNA-only baseline, and whether the benefit holds with multiprofile aggregation. This experiment tests that directly by keeping the best-performing RNA encoder and profile setting while adding a multimodal image branch with concat fusion. It is the best next use of budget because it makes a clean, informative extension of the current top configuration instead of changing multiple factors at once or probing weaker branches likely to underperform.",,2026-08-13T00:20:31,2026-08-13T01:04:38,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_010_20260813_002031,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_010.log,
llm_summary_001,llm_summary,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,completed,0.47310519218444824,0.44441714882850647,,,"There is no prior evidence yet, so the most valuable first step is to establish a strong and simple baseline. This tests whether an RNA-only singleprofile model with a standard PCA-based encoder is already competitive before adding profile complexity, alternative encoders, or multimodal fusion. It is the best use of the limited budget because it creates a clear reference point for all future comparisons and isolates the effect of adding complexity in later experiments.","This experiment tested an RNA-only, singleprofile baseline using a PCA-based RNA encoder (pca_n2000) with no image encoder, aggregation, or fusion components. The validation accuracy was 0.4731, with supporting validation F1 of 0.4444, suggesting this is a modest baseline performance rather than evidence of strong competitiveness. Because there are no prior llm_summary experiments and no direct comparisons here, it remains uncertain how much of the result depends on the singleprofile choice versus the PCA encoding, or how much improvement might come from adding profile complexity or multimodal inputs.",2026-08-13T10:09:48,2026-08-13T10:10:20,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_001_20260813_100948,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_001.log,
llm_summary_002,llm_summary,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,completed,0.5242751240730286,0.49714577198028564,,,"Current evidence is weak: we only have a single RNA-only baseline with pca_n2000 in singleprofile, so it is unclear whether the main limitation is the RNA encoder or the profile setting. This experiment keeps the model_setting fixed as RNA-only and changes only the RNA encoder to scvi_n200 while holding singleprofile constant, which cleanly tests whether a stronger representation improves performance before adding more complexity. Under a limited budget, this is the best next step because it isolates a major design choice with minimal confounding and provides the most informative comparison against the existing baseline.","This experiment tested an RNA-only, singleprofile baseline with the RNA encoder changed from pca_n2000 to scvi_n200, while keeping the image encoder, aggregation, and fusion absent. Validation accuracy improved to 0.5243 with supporting F1 of 0.4971, which suggests this encoder choice is a stronger initial baseline than the earlier PCA-based version. However, because only one prior baseline is available and other factors remain fixed, it is still uncertain whether the gain is due to the SCVI representation specifically or how much further improvement may come from changing the profile setting or adding multimodal components.",2026-08-13T10:10:39,2026-08-13T10:11:35,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_002_20260813_101039,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_002.log,
llm_summary_003,llm_summary,rna_only,multiprofile,scvi_n200,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scvi_n200,completed,0.6005151271820068,0.5771834254264832,,,"The current evidence suggests scvi_n200 is a stronger RNA-only representation than pca_n2000, but we have not yet tested whether profile aggregation matters for this better encoder. This experiment isolates that question by keeping the RNA encoder fixed to scvi_n200 while switching from singleprofile to multiprofile with transformer aggregation, which can capture cross-profile structure more flexibly than avgpool. It is the best next use of the limited budget because it directly tests a promising extension of the best-performing baseline while also clarifying whether added profile complexity provides an actual gain over the simpler singleprofile setup.","This experiment tested an RNA-only multiprofile model using the scvi_n200 encoder with transformer aggregation and no image or fusion component, extending the earlier scvi_n200 singleprofile baseline. Validation accuracy reached 0.6005, with F1 of 0.5772, which suggests that this multiprofile setup is a promising initial improvement over the prior singleprofile scvi_n200 result. However, the evidence is still limited to a single comparison, so it remains uncertain how much of the gain is attributable to profile aggregation versus other aspects of the setup, and whether transformer aggregation is better than simpler alternatives.",2026-08-13T10:11:56,2026-08-13T10:15:25,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_003_20260813_101156,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_003.log,
llm_summary_004,llm_summary,rna_only,multiprofile,scvi_n200,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scvi_n200,completed,0.6670119762420654,0.6321578025817871,,,"We have strong evidence that scvi_n200 outperforms pca_n2000 in the singleprofile RNA-only setting, and that moving from singleprofile to multiprofile with transformer aggregation can improve performance. What remains unclear is whether the gain comes from the multiprofile setup itself or from the transformer aggregator. This experiment tests the same scvi_n200 representation in multiprofile form but swaps transformer for the simpler avgpool aggregation, which isolates the effect of aggregation while keeping the promising RNA encoder and profile setting fixed. It is the best next use of budget because it directly clarifies a key design choice with minimal confounding, and it may also reveal whether a simpler, cheaper aggregator is sufficient to capture most of the benefit.","This experiment tested an RNA-only multiprofile model with the scvi_n200 encoder, no image encoder, and avgpool aggregation, keeping fusion absent. Validation accuracy was 0.6670 with F1 of 0.6322, which suggests this is a strong initial result and a further improvement over the earlier singleprofile and transformer-based multiprofile baselines. However, it remains uncertain whether the gain comes from the multiprofile setting itself or from aggregation details, since the available evidence does not isolate avgpool versus transformer under otherwise identical conditions, and it is still unclear whether simpler aggregation is sufficient more broadly.",2026-08-13T10:15:45,2026-08-13T10:17:09,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_004_20260813_101545,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_004.log,
llm_summary_005,llm_summary,rna_only,singleprofile,scgpt,,,,rnaseq/singleprofile/train_on_scgpt,completed,0.38553929328918457,0.37460315227508545,,,"Existing evidence shows scvi_n200 is the strongest RNA-only representation so far, and multiprofile avgpool already outperforms singleprofile/transformer, but we still do not know whether these gains generalize to a better RNA encoder. This experiment tests scgpt in the simplest RNA-only singleprofile setting, isolating the effect of representation before adding profile aggregation or multimodal complexity. Under a limited budget, that is the best next step because it most directly answers whether the current best-performing trend is tied to scvi_n200 or whether a stronger encoder can further improve the baseline.","This experiment tested an RNA-only singleprofile baseline using the scgpt RNA encoder, with no image encoder, aggregation, or fusion. Validation accuracy was 0.3855 with F1 of 0.3746, which suggests this is a relatively weak result compared with the earlier scvi_n200 singleprofile baseline and does not yet support scgpt as a better representation in this setting. However, because the comparison is limited to one prior baseline and other design factors were held fixed, it remains uncertain whether scgpt is inherently worse, whether it interacts differently with profile structure, or whether its value would emerge only in a multiprofile or multimodal setup.",2026-08-13T10:17:24,2026-08-13T10:18:09,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_005_20260813_101724,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_005.log,
llm_summary_006,llm_summary,image_only,singleprofile,,resnet50,,,imaging/singleprofile/train_on_concat_resnet50,completed,0.20253044366836548,0.16882012784481049,,,"Existing evidence strongly favors RNA-only scvi_n200 multiprofile over simpler RNA baselines, but we still have no information on whether image features are useful at all. This experiment tests an image-only singleprofile baseline with a strong off-the-shelf encoder (resnet50), which clarifies the standalone value of morphology and gives a clean point of comparison for future multimodal choices. Under the limited budget, it is the best next step because it explores a major missing modality without changing RNA representation, profile complexity, and fusion simultaneously, helping isolate whether images are worth adding before committing to multimodal experiments.","This experiment tested an image-only, singleprofile baseline using a ResNet50 image encoder with no RNA encoder, aggregation, or fusion, to assess whether morphology alone carries predictive signal. Validation accuracy was 0.2025 with F1 of 0.1688, suggesting that this standalone image configuration performs substantially below the RNA-only baselines already observed and is not a strong baseline by itself. However, it remains uncertain whether this reflects limits of image-only modeling, the singleprofile setting, or the need for a multimodal fusion design to make image features useful.",2026-08-13T10:18:23,2026-08-13T10:20:08,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_006_20260813_101823,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_006.log,
llm_summary_007,llm_summary,multimodal,multiprofile,pca_n2000,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_pca_n2000_with_concat_imagenet_vit_l,completed,0.5286952257156372,0.48877620697021484,,,"Existing evidence strongly favors the RNA-only multiprofile scvi_n200 setup with avgpool (config_005), while the role of multimodal fusion is still completely untested. This experiment keeps the best-performing RNA representation/profile family fixed and adds an image branch with concat fusion, letting us test whether morphology provides complementary signal beyond the strong RNA-only baseline. It is the best next use of budget because it is a logical extension of the current lead, isolates the effect of adding multimodality without changing RNA encoder or profile setting, and directly answers whether the image modality can improve on the strongest known configuration.","This experiment tested the first multimodal multiprofile configuration by keeping the RNA setup fixed at pca_n2000 with avgpool aggregation and adding an imagenet_vit_l image branch fused by concatenation. Validation accuracy was 0.5287 with F1 of 0.4888, which suggests the multimodal version is at least a workable baseline but does not yet show a clear advantage over the strongest RNA-only multiprofile result seen previously. It remains uncertain whether the image modality adds complementary signal in this setting, or whether this outcome depends on the specific RNA encoder, pooling choice, or concat fusion design.",2026-08-13T10:20:24,2026-08-13T11:07:16,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_summary_007_20260813_102024,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_summary_007.log,
